,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
801,0.7147226419651918,-1.577442367190353,0.42122516545636884,HG02130,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
802,0.7641672629951461,-1.6370319924661165,0.240659460736832,HG02131,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
803,0.7402852356546101,-1.6741437545611009,-0.07785907142947839,HG02133,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
804,0.7707163355473378,-1.5726933365940168,0.22074030700224687,HG02134,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
805,0.7727094452706337,-1.7225244906132704,-0.1465527425883882,HG02136,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
806,0.7791527449319644,-1.62209578039388,1.0021883282643966,HG02137,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
807,0.8077367303614781,-1.87495042245336,-0.12222090120692745,HG02138,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
808,0.7380193513974914,-1.3082607103196215,0.13794876286101104,HG02139,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
809,0.6925340546684755,-1.7852205493151287,-0.07422431083253853,HG02140,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
810,0.8146611968347759,-1.55264030981757,0.42146666632345076,HG02141,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
811,0.7972299967448156,-1.7562881965258506,0.10687638562203325,HG02142,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
812,-1.5434438086101858,0.03778624341123421,0.06976589426749973,HG02143,AFR,ACB,African Caribbean in Barbados
813,-1.7466365336844574,-0.4513503861060932,-0.2904612580997379,HG02144,AFR,ACB,African Caribbean in Barbados
814,0.7739731073583473,-0.1395000146948906,-2.635504026300897,HG02146,AMR,PEL,"Peruvian in Lima, Peru"
815,0.7029033467025239,-0.39390740782053246,-3.8577679458127223,HG02147,AMR,PEL,"Peruvian in Lima, Peru"
816,0.8134428738778565,-0.19748187084630275,-3.217090382619454,HG02150,AMR,PEL,"Peruvian in Lima, Peru"
817,0.7462010615069428,-1.7129474697774398,-0.3348474244648309,HG02151,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
818,0.7309735148856732,-1.5954966750797346,0.096995359934065,HG02152,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
819,0.7516182992731005,-1.4319648059773213,0.4529258357099734,HG02153,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
820,0.7379881697102,-1.5470766635570352,0.11285668315273756,HG02154,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
821,0.8396334319606216,-1.6007824363887064,0.31258547693801314,HG02155,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
822,0.7173670583215317,-1.7585832121397134,0.630568839117752,HG02156,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
823,0.5862309010253383,-1.9621454257917683,-0.10249567865628016,HG02164,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
824,0.7262901289213473,-1.5989045222452951,0.17240372487460617,HG02165,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
825,0.7962540527935672,-1.4623105570528863,-0.6022657536556437,HG02166,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
826,0.7553170841575992,-1.9884367614583511,0.39590738373796786,HG02178,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
