,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
142,97764.69226367603,29783.27872385175,4823.976250682388,HG00331,EUR,FIN,Finnish in Finland
143,101893.87031085775,19534.01169509725,-14088.54130124285,HG00332,EUR,FIN,Finnish in Finland
144,87639.6290142609,30176.936564587857,-20894.736066598656,HG00334,EUR,FIN,Finnish in Finland
145,81634.6327367096,28222.075381192026,-5005.694943985566,HG00335,EUR,FIN,Finnish in Finland
146,97384.74840439417,15851.377456544318,-12813.448056666988,HG00336,EUR,FIN,Finnish in Finland
147,89654.69092209835,23247.733948225996,-7366.527093599774,HG00337,EUR,FIN,Finnish in Finland
148,61407.27313643677,23859.88156966928,3065.52774850915,HG00338,EUR,FIN,Finnish in Finland
149,90560.08385355485,19161.47809312391,-5158.384282434632,HG00339,EUR,FIN,Finnish in Finland
150,90899.12435948232,24666.855267063533,-8114.360350767362,HG00341,EUR,FIN,Finnish in Finland
151,84680.21770499698,23016.51191339934,-148.32709988131882,HG00342,EUR,FIN,Finnish in Finland
152,77831.79833450083,24159.510776380972,14612.104599498636,HG00343,EUR,FIN,Finnish in Finland
153,71724.08562657963,10401.527554042368,7223.716784205648,HG00344,EUR,FIN,Finnish in Finland
154,87849.33681958164,21442.087001014082,-7723.359663116878,HG00345,EUR,FIN,Finnish in Finland
155,88260.62130509422,28378.269036200323,9876.740700142016,HG00346,EUR,FIN,Finnish in Finland
156,76360.25424945264,15744.66732891294,18853.095749418295,HG00349,EUR,FIN,Finnish in Finland
157,73112.81437819755,30107.33616773704,21545.138294975473,HG00350,EUR,FIN,Finnish in Finland
158,66101.98576234338,19369.1422900879,-17637.58147311603,HG00351,EUR,FIN,Finnish in Finland
159,53135.62643591383,15909.499104956127,-16011.88320627114,HG00353,EUR,FIN,Finnish in Finland
160,83966.34953127714,16679.18732721285,1573.924468175023,HG00355,EUR,FIN,Finnish in Finland
161,83542.27081826454,23800.47187025794,12656.39542201963,HG00356,EUR,FIN,Finnish in Finland
162,62151.863030109445,17479.66389581791,4847.345085738871,HG00357,EUR,FIN,Finnish in Finland
163,91230.73741988321,15349.330754506198,-9690.23030907019,HG00358,EUR,FIN,Finnish in Finland
164,76038.45463387322,12324.610593109734,1582.5711654007214,HG00360,EUR,FIN,Finnish in Finland
165,103483.21178765556,12952.085419401643,17075.69694576794,HG00361,EUR,FIN,Finnish in Finland
166,69787.56790179401,19011.986058142847,14732.797643944086,HG00362,EUR,FIN,Finnish in Finland
167,99460.23712583128,33692.03240811267,-16660.267472761705,HG00364,EUR,FIN,Finnish in Finland
168,86613.14522285912,17655.65837864496,-4877.4709752049885,HG00365,EUR,FIN,Finnish in Finland
169,83792.49554816708,27077.348248517024,21047.411441352437,HG00366,EUR,FIN,Finnish in Finland
170,78263.07683043228,25991.48500843106,-11896.505939492656,HG00367,EUR,FIN,Finnish in Finland
171,52372.07001777275,26916.56289343905,16767.232683728045,HG00368,EUR,FIN,Finnish in Finland
172,85413.21232694414,29631.19689538442,-530.9675536219947,HG00369,EUR,FIN,Finnish in Finland
173,95358.87765935452,34397.249126975155,-1169.110833793276,HG00371,EUR,FIN,Finnish in Finland
174,78528.4816812318,23056.50425543774,5349.878475702098,HG00372,EUR,FIN,Finnish in Finland
175,70949.30617059195,23528.28838291229,-12655.336284289857,HG00373,EUR,FIN,Finnish in Finland
176,65626.41837424421,29926.57350100217,-11486.08493941626,HG00375,EUR,FIN,Finnish in Finland
177,85361.50886538601,24087.83843674514,7431.074543926083,HG00376,EUR,FIN,Finnish in Finland
178,79151.19576041815,25652.303767643498,8210.938922266163,HG00378,EUR,FIN,Finnish in Finland
179,68271.1146015454,25444.184547094137,11700.637276749465,HG00379,EUR,FIN,Finnish in Finland
180,102074.99696093741,18586.157784933348,8298.507048456227,HG00380,EUR,FIN,Finnish in Finland
181,76926.40240042727,19454.968034136724,16544.405086548744,HG00381,EUR,FIN,Finnish in Finland
182,39838.29853507716,32191.85420385435,836.491722284319,HG00382,EUR,FIN,Finnish in Finland
183,55643.66025041922,23912.132976707042,2382.8120044649886,HG00383,EUR,FIN,Finnish in Finland
184,97526.3682947382,20120.81091256995,-7379.4824216319985,HG00384,EUR,FIN,Finnish in Finland
185,-133195.35325501644,6223.846260513706,-10130.207645104647,HG00403,EAS,CHS,"Southern Han Chinese, China"
186,-134259.2182521278,9347.184590563553,-12442.800761959545,HG00404,EAS,CHS,"Southern Han Chinese, China"
187,-149962.62050209212,12475.93700498389,4955.659288357821,HG00406,EAS,CHS,"Southern Han Chinese, China"
188,-126284.91096162803,8768.734328867818,12956.72112787454,HG00407,EAS,CHS,"Southern Han Chinese, China"
189,-127116.91931018236,16254.396965010552,2140.495387094524,HG00409,EAS,CHS,"Southern Han Chinese, China"
190,-140109.1894292462,13887.131558400568,-1079.4559194725082,HG00410,EAS,CHS,"Southern Han Chinese, China"
191,-121758.68063528786,12430.078561776063,6968.205204017074,HG00419,EAS,CHS,"Southern Han Chinese, China"
192,-169787.08613507063,20924.989588717784,-1112.7830952615966,HG00421,EAS,CHS,"Southern Han Chinese, China"
193,-144913.10271612788,13050.404236970699,-1188.718090816443,HG00422,EAS,CHS,"Southern Han Chinese, China"
194,-144706.07906847738,12222.280968023544,3002.52499339673,HG00428,EAS,CHS,"Southern Han Chinese, China"
195,-135237.87201900082,-3837.3480695788603,4838.446523604535,HG00436,EAS,CHS,"Southern Han Chinese, China"
196,-147350.58228835405,10234.919665574413,2524.098384445202,HG00437,EAS,CHS,"Southern Han Chinese, China"
197,-125811.90638842437,9944.411740497797,9159.10735725239,HG00442,EAS,CHS,"Southern Han Chinese, China"
198,-117985.88503284473,9416.918459898063,6476.158167982294,HG00443,EAS,CHS,"Southern Han Chinese, China"
199,-144335.62909351478,16363.935733881284,-3521.5175117036697,HG00445,EAS,CHS,"Southern Han Chinese, China"
200,-128790.12626547465,19121.11960796068,-3845.6965350284263,HG00446,EAS,CHS,"Southern Han Chinese, China"
201,-105623.23804360128,-4325.107311125498,10735.606868292938,HG00448,EAS,CHS,"Southern Han Chinese, China"
202,-102435.9065040777,12698.154951969358,6792.392383162746,HG00449,EAS,CHS,"Southern Han Chinese, China"
203,-135623.17545799198,9905.881609499525,-6451.3027414162825,HG00451,EAS,CHS,"Southern Han Chinese, China"
204,-129205.17367125883,10362.269430045417,2388.9890195718685,HG00452,EAS,CHS,"Southern Han Chinese, China"
205,-133752.0902607695,16561.48877978413,4041.2821683483403,HG00457,EAS,CHS,"Southern Han Chinese, China"
206,-85667.21870472739,9071.458583964768,-8018.417103704092,HG00458,EAS,CHS,"Southern Han Chinese, China"
207,-120391.56830010278,-2660.962780445431,6753.752037509683,HG00463,EAS,CHS,"Southern Han Chinese, China"
208,-143763.55536796668,18020.486446813702,1241.6167266038694,HG00464,EAS,CHS,"Southern Han Chinese, China"
209,-132243.66610142027,14346.218406907345,-10555.194311285117,HG00472,EAS,CHS,"Southern Han Chinese, China"
210,-114026.08871668873,14314.758269810853,-3589.478842285809,HG00473,EAS,CHS,"Southern Han Chinese, China"
211,-116005.3711501871,12170.63173198004,7240.0444559288935,HG00475,EAS,CHS,"Southern Han Chinese, China"
212,-129962.4927218485,12673.971874572462,7171.036653092499,HG00476,EAS,CHS,"Southern Han Chinese, China"
213,-125227.40769639885,16586.32656857493,1905.7107572194627,HG00478,EAS,CHS,"Southern Han Chinese, China"
214,-141538.46713344925,22759.538479177256,1564.4256668731136,HG00479,EAS,CHS,"Southern Han Chinese, China"
215,-136510.98301692703,12549.005157451402,5939.761967151906,HG00500,EAS,CHS,"Southern Han Chinese, China"
216,-125267.22485511994,10917.134558221425,-1807.2974221486033,HG00513,EAS,CHS,"Southern Han Chinese, China"
217,-131195.04390478172,6526.965260388316,1637.422484299704,HG00524,EAS,CHS,"Southern Han Chinese, China"
218,-123967.97285928998,18925.822420539444,6178.652210447695,HG00525,EAS,CHS,"Southern Han Chinese, China"
219,-129151.34020390481,2450.5850571801916,3247.0074788126467,HG00530,EAS,CHS,"Southern Han Chinese, China"
220,-131091.82523003643,14954.851093953956,-3369.156825330989,HG00531,EAS,CHS,"Southern Han Chinese, China"
221,-144441.88334046621,13003.153478271031,379.3854954773611,HG00533,EAS,CHS,"Southern Han Chinese, China"
222,-107657.68194732297,15070.836338445073,-1334.3075638267999,HG00534,EAS,CHS,"Southern Han Chinese, China"
223,-120153.39734676846,9416.633499665964,2858.796934214791,HG00536,EAS,CHS,"Southern Han Chinese, China"
224,-123301.75330029032,14922.088732228704,3304.0087770649607,HG00537,EAS,CHS,"Southern Han Chinese, China"
225,-137314.8164931529,5708.4423139233795,-2085.5067866256845,HG00542,EAS,CHS,"Southern Han Chinese, China"
226,-127009.48515021769,15195.440781912863,-3864.66178897563,HG00543,EAS,CHS,"Southern Han Chinese, China"
227,-129032.5250949625,12347.010587072356,-5198.800184108082,HG00556,EAS,CHS,"Southern Han Chinese, China"
228,-137909.25003811397,16826.43511069402,5908.483154253272,HG00557,EAS,CHS,"Southern Han Chinese, China"
229,-117462.710687736,5609.5337120438635,3798.736614237809,HG00559,EAS,CHS,"Southern Han Chinese, China"
230,-134306.9901162046,1362.9581546881554,3256.2701148926635,HG00560,EAS,CHS,"Southern Han Chinese, China"
231,-111682.23616092934,13489.262952228546,-1213.3300463196065,HG00565,EAS,CHS,"Southern Han Chinese, China"
232,-149591.42296698346,16115.792748912136,-1550.7435305099357,HG00566,EAS,CHS,"Southern Han Chinese, China"
233,-120849.6867858137,-2086.283604496323,-5310.2519547912725,HG00580,EAS,CHS,"Southern Han Chinese, China"
234,-118984.113402572,-2900.075204415343,-4377.70305618432,HG00581,EAS,CHS,"Southern Han Chinese, China"
235,-134606.34592572993,10685.937927434881,-1928.9766031273257,HG00583,EAS,CHS,"Southern Han Chinese, China"
236,-124889.21717066193,15375.783862910032,9451.590957193066,HG00584,EAS,CHS,"Southern Han Chinese, China"
237,-145349.28023008138,6525.264122250878,-898.4962717067257,HG00589,EAS,CHS,"Southern Han Chinese, China"
238,-120864.40576055818,21619.094923147324,2161.0783744042205,HG00590,EAS,CHS,"Southern Han Chinese, China"
239,-113938.66355740688,15230.330891851298,-3681.9537661093736,HG00592,EAS,CHS,"Southern Han Chinese, China"
240,-122223.94720925835,10058.589071229839,1884.5674599347515,HG00593,EAS,CHS,"Southern Han Chinese, China"
241,-117326.13548593193,15702.20159250804,-13973.438617327492,HG00595,EAS,CHS,"Southern Han Chinese, China"
242,-139973.51592823974,503.26365739568496,7884.01844503946,HG00596,EAS,CHS,"Southern Han Chinese, China"
243,-122794.43646977916,19667.78929543208,-2447.5231213203506,HG00598,EAS,CHS,"Southern Han Chinese, China"
244,-122059.53747684044,2711.3194003723024,-10391.85058776053,HG00599,EAS,CHS,"Southern Han Chinese, China"
245,-132703.46180190673,9220.589082519846,-11715.759906508722,HG00607,EAS,CHS,"Southern Han Chinese, China"
246,-128537.04952862152,11066.766178321392,7722.577198271887,HG00608,EAS,CHS,"Southern Han Chinese, China"
247,-126297.75179851687,-7799.514858268811,-7634.675824385948,HG00610,EAS,CHS,"Southern Han Chinese, China"
248,-132048.58345396363,13254.040260682852,-16606.282583289296,HG00611,EAS,CHS,"Southern Han Chinese, China"
249,-127131.20511974476,2234.8328372289434,8627.12327775271,HG00613,EAS,CHS,"Southern Han Chinese, China"
250,-126034.04410764886,9984.323151625613,-3864.1560424818153,HG00614,EAS,CHS,"Southern Han Chinese, China"
251,-134625.4726762553,9509.623068353723,441.2088701396654,HG00619,EAS,CHS,"Southern Han Chinese, China"
252,-131386.52955547432,19772.21019421601,1997.2420498784368,HG00620,EAS,CHS,"Southern Han Chinese, China"
253,-127602.24710348988,5125.61104706715,-10883.142532323705,HG00622,EAS,CHS,"Southern Han Chinese, China"
254,-113693.90180894578,8886.591908719196,10684.525753738148,HG00623,EAS,CHS,"Southern Han Chinese, China"
255,-167870.55165276848,11514.564068659756,-1780.6235514574005,HG00625,EAS,CHS,"Southern Han Chinese, China"
256,-140233.69596972023,-1892.5944454266878,1163.445848674225,HG00626,EAS,CHS,"Southern Han Chinese, China"
257,-110014.78912161534,4096.678688046463,-3871.442369370808,HG00628,EAS,CHS,"Southern Han Chinese, China"
258,-125370.77194241443,15212.357707374931,-12416.994146312287,HG00629,EAS,CHS,"Southern Han Chinese, China"
259,-126273.73268350023,8080.3782986857295,6718.009617301114,HG00631,EAS,CHS,"Southern Han Chinese, China"
260,-125940.95694055667,9229.77970555658,1710.5109580952565,HG00632,EAS,CHS,"Southern Han Chinese, China"
261,-125061.64361770307,3106.9900706712706,7909.619074819377,HG00634,EAS,CHS,"Southern Han Chinese, China"
262,-139929.45459737605,16560.996097956024,812.7332194412146,HG00650,EAS,CHS,"Southern Han Chinese, China"
263,-140575.14521254157,6261.917325078635,6042.874751573007,HG00651,EAS,CHS,"Southern Han Chinese, China"
264,-135550.59142282762,14490.251407542724,899.1612026188052,HG00653,EAS,CHS,"Southern Han Chinese, China"
265,-140903.46554211463,11984.669702962916,-7423.09337124388,HG00654,EAS,CHS,"Southern Han Chinese, China"
266,-127775.40281958164,6084.699306530799,-2787.7604425551913,HG00656,EAS,CHS,"Southern Han Chinese, China"
267,-96711.6403949785,5362.399809645051,7138.689455207619,HG00657,EAS,CHS,"Southern Han Chinese, China"
268,-132911.89097386465,6196.951252550985,-2140.0568075389638,HG00662,EAS,CHS,"Southern Han Chinese, China"
269,-131377.53946382296,26493.08570092383,-2452.7139135675025,HG00663,EAS,CHS,"Southern Han Chinese, China"
270,-122264.10840418024,21297.86904282415,2635.1416526716202,HG00671,EAS,CHS,"Southern Han Chinese, China"
271,-138691.42647015315,13455.558773242956,-12647.338955005382,HG00672,EAS,CHS,"Southern Han Chinese, China"
272,-115032.91250529431,19220.369720141105,-2342.7671021780916,HG00674,EAS,CHS,"Southern Han Chinese, China"
273,-132121.4857527299,19615.684809943785,-1917.8807218343152,HG00675,EAS,CHS,"Southern Han Chinese, China"
274,-133334.92702407137,18185.171696204274,-2868.9158964548665,HG00683,EAS,CHS,"Southern Han Chinese, China"
275,-135968.22423803658,12573.929326485704,-7023.156875464449,HG00684,EAS,CHS,"Southern Han Chinese, China"
276,-132235.53002780525,11505.690116320728,6934.54773839618,HG00689,EAS,CHS,"Southern Han Chinese, China"
277,-147813.319793615,8717.336085304121,14409.140863004468,HG00690,EAS,CHS,"Southern Han Chinese, China"
278,-120635.61557779703,4548.9631151957,3793.1201409890705,HG00692,EAS,CHS,"Southern Han Chinese, China"
279,-116481.05181073361,5069.059129307291,3514.042196856697,HG00693,EAS,CHS,"Southern Han Chinese, China"
280,-121919.49321196206,19917.924425623678,3214.631181941874,HG00698,EAS,CHS,"Southern Han Chinese, China"
281,-132300.94315209435,12476.57378061994,9840.048582039164,HG00699,EAS,CHS,"Southern Han Chinese, China"
282,-146633.10473774414,18727.51117781901,-5944.370821018129,HG00701,EAS,CHS,"Southern Han Chinese, China"
283,-144358.3655129696,8672.594635842128,-4382.077072767865,HG00704,EAS,CHS,"Southern Han Chinese, China"
