,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
0,0.47531669847325053,1.3595229836795535,0.4806621146751212,HG00096,EUR,GBR,British in England and Scotland
1,0.5430911103118867,1.5020724095462195,-0.5892541231955019,HG00097,EUR,GBR,British in England and Scotland
2,0.6209873101496026,1.3405951060191512,0.3332033599824473,HG00099,EUR,GBR,British in England and Scotland
3,0.6102656304543741,1.210293100157331,-0.5043535896428296,HG00100,EUR,GBR,British in England and Scotland
4,0.7087836769752381,1.4135225848704682,-0.43656175337001735,HG00101,EUR,GBR,British in England and Scotland
5,0.5629047173959297,1.370538022439752,-0.33050817042353486,HG00102,EUR,GBR,British in England and Scotland
6,0.606159808757662,1.4575807605394018,-0.1596406120066866,HG00103,EUR,GBR,British in England and Scotland
7,0.5572986882772387,1.442853962401215,-0.081254387662769,HG00105,EUR,GBR,British in England and Scotland
8,0.6871820288815385,1.047608308720098,0.021776020117487634,HG00106,EUR,GBR,British in England and Scotland
9,0.6977507499199758,1.407172495594519,-0.008361739192510884,HG00107,EUR,GBR,British in England and Scotland
10,0.5645829905221588,1.2103616495567993,0.09629501427284895,HG00108,EUR,GBR,British in England and Scotland
11,0.5232958417216677,1.2790455170400992,-0.09215501409943987,HG00109,EUR,GBR,British in England and Scotland
12,0.4726254787201556,1.4411087114495864,-0.08124501258461486,HG00110,EUR,GBR,British in England and Scotland
13,0.5430936000528344,1.3949491050488565,-0.6271484831411923,HG00111,EUR,GBR,British in England and Scotland
14,0.5455655886731517,1.1571484583084,-0.6669040845226272,HG00112,EUR,GBR,British in England and Scotland
15,0.6050544843625242,1.1143645367203177,-0.6323188598553974,HG00113,EUR,GBR,British in England and Scotland
16,0.624547124654413,1.3177826462901487,0.03407583459486238,HG00114,EUR,GBR,British in England and Scotland
17,0.512539148906614,1.2858789070202434,-0.047668190304091154,HG00115,EUR,GBR,British in England and Scotland
18,0.48616597144691376,1.2681190989793614,0.06853654887736416,HG00116,EUR,GBR,British in England and Scotland
19,0.6068439618126649,1.2999755001049724,-0.5606717982180859,HG00117,EUR,GBR,British in England and Scotland
20,0.5160914582374564,1.3588325137409447,0.10388863399097231,HG00118,EUR,GBR,British in England and Scotland
21,0.6102651648754893,1.2958254128600692,-0.5367284184811354,HG00119,EUR,GBR,British in England and Scotland
22,0.58534875575707,1.1807674666013237,-0.06122368606730612,HG00120,EUR,GBR,British in England and Scotland
23,0.522261146266821,1.220244999807171,-0.08133429229417288,HG00121,EUR,GBR,British in England and Scotland
24,0.511881759487628,1.1983406704889132,-0.47440075390277464,HG00122,EUR,GBR,British in England and Scotland
25,0.6189347670059528,1.2170257035083007,0.20254282696935946,HG00123,EUR,GBR,British in England and Scotland
26,0.6101785814655257,1.3279201618199383,-0.18578227605641517,HG00125,EUR,GBR,British in England and Scotland
27,0.6320027270665781,1.6459573621611456,-0.14487620945494756,HG00126,EUR,GBR,British in England and Scotland
28,0.5482330350997222,1.3058725078205973,0.04074817249363255,HG00127,EUR,GBR,British in England and Scotland
29,0.6351945768664458,1.3420553908997328,0.177025482292978,HG00128,EUR,GBR,British in England and Scotland
30,0.49946774720134796,1.1322247861240984,-0.3450945882921208,HG00129,EUR,GBR,British in England and Scotland
31,0.6820561341473318,1.1471744377178894,-0.38144114263129353,HG00130,EUR,GBR,British in England and Scotland
32,0.6401585531060882,1.4541703011841833,-0.24853927788133912,HG00131,EUR,GBR,British in England and Scotland
33,0.49375307465761953,1.730390520545049,-0.17325740264661432,HG00132,EUR,GBR,British in England and Scotland
34,0.6547838225424052,1.1620235022606775,-0.7037590296986929,HG00133,EUR,GBR,British in England and Scotland
35,0.5639663270725608,1.2013285559575664,-0.5600886777480438,HG00136,EUR,GBR,British in England and Scotland
36,0.5693902994299582,1.0889728484312324,0.023391044250224778,HG00137,EUR,GBR,British in England and Scotland
37,0.5895901855581497,1.5376705929902996,-0.22464430993761383,HG00138,EUR,GBR,British in England and Scotland
38,0.5414814931582718,1.2162323927801626,-0.26273870559121626,HG00139,EUR,GBR,British in England and Scotland
39,0.6886564332388581,1.3773630122771343,-0.08507713597433368,HG00140,EUR,GBR,British in England and Scotland
40,0.6846445283226328,1.3120570565418967,-0.8084109612596415,HG00141,EUR,GBR,British in England and Scotland
41,0.536432928206691,1.4203942364662998,0.028269664385620414,HG00142,EUR,GBR,British in England and Scotland
42,0.6281350798825158,0.9186642609318185,-0.003802614835115847,HG00143,EUR,GBR,British in England and Scotland
43,0.7104460861032532,0.9822339364127413,-0.6194134857395682,HG00145,EUR,GBR,British in England and Scotland
44,0.5610835610787296,1.5196930420663384,-0.003937455899282824,HG00146,EUR,GBR,British in England and Scotland
45,0.5618117354417315,1.5531118249102933,-0.2748973713255971,HG00148,EUR,GBR,British in England and Scotland
46,0.50630923923092,1.195503653920269,0.23037323726719983,HG00149,EUR,GBR,British in England and Scotland
47,0.5158158181495356,1.3085357878375152,-0.5726993202520152,HG00150,EUR,GBR,British in England and Scotland
48,0.5490892038751722,1.4124010884420586,0.15549615089342306,HG00151,EUR,GBR,British in England and Scotland
49,0.7113525427883045,1.5189239595164195,0.2875903809129569,HG00154,EUR,GBR,British in England and Scotland
50,0.5773066407152009,1.1768608401687437,-0.17261768647908118,HG00155,EUR,GBR,British in England and Scotland
51,0.6489890356879504,1.4930224151335578,-0.11139518111548474,HG00157,EUR,GBR,British in England and Scotland
52,0.6169244104673248,1.3481795967284163,0.04055857204634826,HG00158,EUR,GBR,British in England and Scotland
